Expense Date,Expense Account,Expense Description,Expense Amount,Vendor,Paid Through,Tax Percentage
04-12-2024,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
29-11-2024,Vehicle Fuel - Business,Petrol,120,,PettyCash_PJ,0
28-11-2024,Visa & Immigration Fees - Staff,Insurance Prajapati Mion A/C Paid,1000,,PettyCash_PJ,0
28-11-2024,Visa & Immigration Fees - Staff,Ajman Prajapati Id And Visa Stamping,860,,PettyCash_PJ,0
27-11-2024,Staff Allowances & Benefits,Paints No,60,,PettyCash_PJ,0
27-11-2024,Staff Health & Medical,Medical Prajapati Visa,340,,PettyCash_PJ,0
26-11-2024,Staff Salaries,Rajnath Advance Paid,1000,,PettyCash_PJ,0
23-11-2024,Personal - Vehicle Maintenance,Bash House Box Transformer,17,,PettyCash_PJ,0
23-11-2024,Staff Salaries,Oct Salary WPS,19316,,PettyCash_PJ,0
23-11-2024,Vehicle Fuel - Business,Petrol,125,,PettyCash_PJ,0
23-11-2024,Visa & Immigration Fees - Staff,Moin Sir A C Deposit Insurance To The Madam,310,,PettyCash_PJ,0
22-11-2024,Taxi & Parking - Business,Parking,50,,PettyCash_PJ,0
22-11-2024,Vehicle Fuel - Business,Petrol,120,,PettyCash_PJ,0
21-11-2024,Vehicle Maintenance - Business,Bus Tyre Puncture No,40,,PettyCash_PJ,0
21-11-2024,Vehicle Repair - Business,A/C Deposit Kapish Amit,500,,PettyCash_PJ,0
19-11-2024,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
18-11-2024,Local Conveyance - Business,Meraj Car Transport Paid,3125,,PettyCash_PJ,0
18-11-2024,Vehicle Maintenance - Business,Bus Regulator Pipe Repair Colont,270,,PettyCash_PJ,0
18-11-2024,Visa & Immigration Fees - Staff,Prajapati Visa Renewal Paid Ajman,3900,,PettyCash_PJ,0
16-11-2024,Printing & Stationery,Photocopy - emailed invoice,5,,PettyCash_PJ,0
16-11-2024,Vehicle Fuel - Business,Petrol,130,,PettyCash_PJ,0
15-11-2024,Miscellaneous Business Expenses,Room Rents Sagar Bed Specs To,400,,PettyCash_PJ,0
14-11-2024,Local Conveyance - Business,Comptostay Bash House Prajapati Taxi,50,,PettyCash_PJ,0
14-11-2024,Miscellaneous Business Expenses,Miscellaneous Business Expenses,80,,PettyCash_PJ,0
14-11-2024,Vehicle Maintenance - Business,Bus A/C Gas,100,,PettyCash_PJ,0
13-11-2024,Local Conveyance - Business,Taxi Air Port To Company Prajapati,70,,PettyCash_PJ,0
29-10-2024,Staff Salaries,Advance Uttam Sharm,1500,,PettyCash_PJ,0
28-10-2024,Local Conveyance - Business,Meraj Taxi,1200,,PettyCash_PJ,0
28-10-2024,Staff Salaries,Salary Sep,18756,,PettyCash_PJ,0
18-10-2024,Local Conveyance - Business,Meraj Taxi,1100,,PettyCash_PJ,0
10-10-2024,Staff Salaries,Visa Gratuity Paid Jeetendra,4200,,PettyCash_PJ,0
10-10-2024,Staff Salaries,Sep Oct Salary Paid Prajapati,4000,,PettyCash_PJ,0
10-10-2024,Staff Salaries,Sep Oct Salary Paid Jeetendra,1980,,PettyCash_PJ,0
10-10-2024,Staff Salaries,Live Salary Paid Jeetendra,2000,,PettyCash_PJ,0
10-10-2024,Staff Salaries,Live Salary Paid Jeetendra,2000,,PettyCash_PJ,0
10-10-2024,Visa & Immigration Fees - Staff,Visa Id Typing Story Am,860,,PettyCash_PJ,0
10-10-2024,Visa & Immigration Fees - Staff,Rajiv Sir Madam Insurance Paid,500,,PettyCash_PJ,0
03-10-2024,Taxi & Parking - Business,Parking Card Rechay,50,,PettyCash_PJ,0
27-09-2024,Staff Salaries,Aug Salary WPS Charges,23432,,PettyCash_PJ,0
26-09-2024,Visa & Immigration Fees - Staff,Dinesh Kumar Offer Letter Paid,280,,PettyCash_PJ,0
24-09-2024,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
23-09-2024,Visa & Immigration Fees - Staff,Jeetendra Visa Cancel Paid,400,,PettyCash_PJ,0
19-09-2024,Miscellaneous Business Expenses,Room Rents Weeks,750,,PettyCash_PJ,0
19-09-2024,Personal - Vehicle Maintenance,Bush House Monitar Parceces,140,,PettyCash_PJ,0
18-09-2024,Vehicle Maintenance - Business,Vehicle wash,15,,PettyCash_PJ,0
16-09-2024,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
16-09-2024,Vehicle Maintenance - Business,Bus A/C Blower Chess Girsothy,550,,PettyCash_PJ,0
14-09-2024,Vehicle Maintenance - Business,Bus A/C Gas Filling Battery,150,,PettyCash_PJ,0
08-09-2024,Vehicle Maintenance - Business,Bus Oil Filter Air Filter,280,,PettyCash_PJ,0
05-09-2024,Taxi & Parking - Business,Taxi & Parking - Business,50,,PettyCash_PJ,0
29-08-2024,Visa & Immigration Fees - Staff,Ajman Visa Office Sd Madam Visa Typing,100,,PettyCash_PJ,0
27-08-2024,Personal - Vehicle Maintenance,Bash House Table Black Patches,150,,PettyCash_PJ,0
27-08-2024,Staff Salaries,July Salary WPS Charges,23262,,PettyCash_PJ,0
27-08-2024,Vehicle Maintenance - Business,Bus Starter Charges,570,,PettyCash_PJ,0
20-08-2024,Miscellaneous Business Expenses,Room Rents Bed Specs,700,,PettyCash_PJ,0
20-08-2024,Printing & Stationery,Invoice Prints,5,,PettyCash_PJ,0
13-08-2024,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
08-08-2024,Taxi & Parking - Business,Parking Card Recharge,30,,PettyCash_PJ,0
07-08-2024,Printing & Stationery,Photocopy prints - Dinesh,5,,PettyCash_PJ,0
03-08-2024,Vehicle Maintenance - Business,Vehicle Maintenance - Business,670,,PettyCash_PJ,0
29-07-2024,Taxi & Parking - Business,Parking Board Recharge,50,,PettyCash_PJ,0
26-07-2024,Staff Salaries,Salary June WPS Charges,21220,,PettyCash_PJ,0
20-07-2024,Miscellaneous Business Expenses,Room Rents Bed Specs,700,,PettyCash_PJ,0
20-07-2024,Printing & Stationery,Photo Prints Email,5,,PettyCash_PJ,0
19-07-2024,Miscellaneous Business Expenses,Cash By Hand Rajiv Sir,2000,,PettyCash_PJ,0
19-07-2024,Staff Allowances & Benefits,T-shirt,230,,PettyCash_PJ,0
19-07-2024,Vehicle Fuel - Business,Petrol,100,,PettyCash_PJ,0
14-07-2024,Personal - Staff & Services,Bhadur Kish A/C Paid,5000,,PettyCash_PJ,0
14-07-2024,Staff Salaries,Lal Bala A/C Paid,1000,,PettyCash_PJ,0
09-07-2024,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
09-07-2024,Vehicle Maintenance - Business,Bash Car A/C Repair Paid,1000,,PettyCash_PJ,0
08-07-2024,Printing & Stationery,Photocopy,5,,PettyCash_PJ,0
25-06-2024,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
24-06-2024,Credit Card Epp Instalments,Shagar C Card Apply Charges,8,,PettyCash_PJ,0
24-06-2024,Staff Salaries,May Salary WPS Charges,19398,,PettyCash_PJ,0
19-06-2024,Miscellaneous Business Expenses,Room Rents Works,750,,PettyCash_PJ,0
19-06-2024,Taxi & Parking - Business,Air Port Parking Moti Kumar,15,,PettyCash_PJ,0
13-06-2024,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
09-06-2024,Taxi & Parking - Business,Parking Air Port Vijay Sagar,15,,PettyCash_PJ,0
07-06-2024,Local Conveyance - Business,Taxi Sharif To Company,20,,PettyCash_PJ,0
06-06-2024,Vehicle Maintenance - Business,Vehicle Maintenance - Business,120,,PettyCash_PJ,0
03-06-2024,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
30-05-2024,Visa & Immigration Fees - Staff,Srijan Katyal A/C Paid,530,,PettyCash_PJ,0
27-05-2024,Taxi & Parking - Business,Parking Card New Balance,50,,PettyCash_PJ,0
22-05-2024,Staff Salaries,April Salary WPS Charges,14693,,PettyCash_PJ,0
21-05-2024,Miscellaneous Business Expenses,Room Rents,350,,PettyCash_PJ,0
21-05-2024,Visa & Immigration Fees - Staff,Sagar Insurance Ajman Main,700,,PettyCash_PJ,0
11-05-2024,Printing & Stationery,Photocopy,2,,PettyCash_PJ,0
06-05-2024,Taxi & Parking - Business,Parking Air Port Shanty,20,,PettyCash_PJ,0
04-05-2024,Visa & Immigration Fees - Staff,Sagar Visa Id Typing Ajman Officee,1020,,PettyCash_PJ,0
02-05-2024,Staff Salaries,March Salary WPS Charges,13985,,PettyCash_PJ,0
26-04-2024,Staff Salaries,March April Salary Paid Vijay,2687,,PettyCash_PJ,0
26-04-2024,Staff Salaries,Leave Salary Paid Vijay Sagar,2000,,PettyCash_PJ,0
24-04-2024,Printing & Stationery,Photocopy,5,,PettyCash_PJ,0
22-04-2024,Miscellaneous Business Expenses,Room Rents Budhiram,350,,PettyCash_PJ,0
19-04-2024,Local Conveyance - Business,Taxi Uttam Dubai Hills,19,,PettyCash_PJ,0
19-04-2024,Taxi & Parking - Business,Parking Card Recharge,20,,PettyCash_PJ,0
17-04-2024,Staff Salaries,Sagar Advance Paid,100,,PettyCash_PJ,0
17-04-2024,Vehicle Maintenance - Business,Bus Brake Problem Repair,50,,PettyCash_PJ,0
11-04-2024,Staff Salaries,Salary March April Paid,2046,,PettyCash_PJ,0
11-04-2024,Staff Salaries,Salary March April Paid,1063,,PettyCash_PJ,0
11-04-2024,Staff Salaries,Salary March April,1457,,PettyCash_PJ,0
11-04-2024,Staff Salaries,Munna Leave And Gratuity Paid,3399,,PettyCash_PJ,0
11-04-2024,Staff Salaries,Moti Leave Salary Paid,2000,,PettyCash_PJ,0
11-04-2024,Staff Salaries,Munna Leave And Gratuity Paid,3399,,PettyCash_PJ,0
06-04-2024,Staff Salaries,Munna Amol Advance,1000,,PettyCash_PJ,0
03-04-2024,Visa & Immigration Fees - Staff,Visa & Immigration Fees - Staff,4900,,PettyCash_PJ,0
27-03-2024,Staff Salaries,Shambhu Leave Salary Paid,2000,,PettyCash_PJ,0
27-03-2024,Staff Salaries,March Salary Shambhu Paid,1145,,PettyCash_PJ,0
26-03-2024,Licensing & Government Fees,Sagar Outa Office Lettar Ajman Officee,850,,PettyCash_PJ,0
26-03-2024,Staff Salaries,Salary WPS Charges,20646,,PettyCash_PJ,0
21-03-2024,Miscellaneous Business Expenses,Room Rents,1050,,PettyCash_PJ,0
21-03-2024,Staff Salaries,Sagar Food Advance,100,,PettyCash_PJ,0
21-03-2024,Visa & Immigration Fees - Staff,Insurance Uttam Sharm Ajman Main,600,,PettyCash_PJ,0
21-03-2024,Visa & Immigration Fees - Staff,Ajman Munna Amol Visa Cancel,800,,PettyCash_PJ,0
18-03-2024,Taxi & Parking - Business,Air Port Parking Road Sagar,25,,PettyCash_PJ,0
16-03-2024,Local Conveyance - Business,Taxi Uttam Dubai Hills To Company,22,,PettyCash_PJ,0
16-03-2024,Vehicle Maintenance - Business,Bus Regulator New Repair,540,,PettyCash_PJ,0
14-03-2024,Staff Salaries,Leave Salary Gratuity Dharmendr,3065,,PettyCash_PJ,0
14-03-2024,Staff Salaries,Feb March Salary,1004,,PettyCash_PJ,0
09-03-2024,Miscellaneous Business Expenses,Transport Post Company To Dubai Hills,50,,PettyCash_PJ,0
09-03-2024,Vehicle Maintenance - Business,Vehicle recovery (towing),150,,PettyCash_PJ,0
06-03-2024,Staff Salaries,Dharmendr Advance,500,,PettyCash_PJ,0
06-03-2024,Visa & Immigration Fees - Staff,Ajman Uttam Shama Id Visa Story,860,,PettyCash_PJ,0
02-03-2024,Taxi & Parking - Business,Parking card recharge,20,,PettyCash_PJ,0
28-02-2024,Staff Health & Medical,Prajapati Medical Paid,120,,PettyCash_PJ,0
28-02-2024,Visa & Immigration Fees - Staff,Moti Cash Paid Uttam Insurance,100,,PettyCash_PJ,0
27-02-2024,Staff Salaries,Salary Jan Wps Charges,23001,,PettyCash_PJ,0
25-02-2024,Vehicle Maintenance - Business,Bus Dynamo Change Repair Paid,500,,PettyCash_PJ,0
24-02-2024,Staff Salaries,Rajnath Leave Salary Paid,2000,,PettyCash_PJ,0
24-02-2024,Staff Salaries,Rajnath Feb Salary Paid,1340,,PettyCash_PJ,0
21-02-2024,Miscellaneous Business Expenses,Room Rent Works,1050,,PettyCash_PJ,0
20-02-2024,Visa & Immigration Fees - Staff,Uttam Sharma Labour Card Renewal Paid,4000,,PettyCash_PJ,0
15-02-2024,Visa & Immigration Fees - Staff,Dharmendr Cancel Paid Ajman Officee,400,,PettyCash_PJ,0
04-02-2024,Business Gifts & Client Entertainment,Business Gifts & Client Entertainment,500,,PettyCash_PJ,0
04-02-2024,Personal - Vehicle Maintenance,Bash House Electric Material,75,,PettyCash_PJ,0
31-01-2024,Licensing & Government Fees,Ajman License Othe,820,,PettyCash_PJ,0
30-01-2024,Staff Salaries,Salary Dee WPS Charges,23955,,PettyCash_PJ,0
29-01-2024,Personal - Vehicle Maintenance,Light Bash House,260,,PettyCash_PJ,0
27-01-2024,Miscellaneous Business Expenses,Bed Specs Athay To,350,,PettyCash_PJ,0
27-01-2024,Staff Salaries,Dinesh Advance,500,,PettyCash_PJ,0
27-01-2024,Taxi & Parking - Business,Parking Air Port Jeetendra,15,,PettyCash_PJ,0
23-01-2024,Staff Allowances & Benefits,T-shirt,395,,PettyCash_PJ,0
23-01-2024,Staff Allowances & Benefits,No Glass Bash House,50,,PettyCash_PJ,0
22-01-2024,Miscellaneous Business Expenses,Room Rents Worth,1050,,PettyCash_PJ,0
19-01-2024,Licensing & Government Fees,License Local Othe Ajman,4950,,PettyCash_PJ,0
15-01-2024,Vehicle Maintenance - Business,Bus Oil Filter And Other Repair,480,,PettyCash_PJ,0
11-01-2024,Licensing & Government Fees,License Sponsor Ajman Paid,15000,,PettyCash_PJ,0
11-01-2024,Visa & Immigration Fees - Staff,Dinesh Moti Visa Stamping Id Typing,1880,,PettyCash_PJ,0
10-01-2024,Credit Card Epp Instalments,Caredit Card Pamonts,4600,,PettyCash_PJ,0
09-01-2024,Staff Salaries,WPS Renewal Yerli Charges Paid,160,,PettyCash_PJ,0
09-01-2024,Visa & Immigration Fees - Staff,Ajman Off Dinesh Labour Card Renewal,3500,,PettyCash_PJ,0
08-01-2024,Taxi & Parking - Business,Parking card recharge,20,,PettyCash_PJ,0
08-01-2024,Vehicle Maintenance - Business,Vehicle repair,80,,PettyCash_PJ,0
28-12-2023,Staff Salaries,Nov Salary WPS Charges,24250,,PettyCash_PJ,0
25-12-2023,Miscellaneous Business Expenses,Room Rent Works,1050,,PettyCash_PJ,0
24-12-2023,Visa & Immigration Fees - Staff,Moti Renewal Dinesh Cancel Ajman,4350,,PettyCash_PJ,0
23-12-2023,Printing & Stationery,Photocopy,5,,PettyCash_PJ,0
19-12-2023,Local Conveyance - Business,Transport Taxi Works,150,,PettyCash_PJ,0
12-12-2023,Taxi & Parking - Business,Parking card recharge,20,,PettyCash_PJ,0
11-12-2023,Visa & Immigration Fees - Staff,Ajman Shambhu Visa Id,860,,PettyCash_PJ,0
06-12-2023,Licensing & Government Fees,E-Channel Renewal Paid Ajman,1220,,PettyCash_PJ,0
04-12-2023,Taxi & Parking - Business,Taxi & Parking - Business,135,,PettyCash_PJ,0
04-12-2023,Vehicle Maintenance - Business,Vehicle recovery (towing),100,,PettyCash_PJ,0
28-11-2023,Staff Salaries,Nov Salary Paid,1519,,PettyCash_PJ,0
27-11-2023,Staff Salaries,Live Salary Jeetendra Paid,2000,,PettyCash_PJ,0
24-11-2023,Printing & Stationery,Photocopy,3,,PettyCash_PJ,0
23-11-2023,Staff Salaries,Salary Oct WPS Charges,25863,,PettyCash_PJ,0
22-11-2023,Miscellaneous Business Expenses,Room Rents Works,1400,,PettyCash_PJ,0
21-11-2023,Personal - Staff & Services,Bhadur Paid Frind,3000,,PettyCash_PJ,0
19-11-2023,Vehicle Maintenance - Business,Bus Brake Lock Repair,100,,PettyCash_PJ,0
12-11-2023,Business Gifts & Client Entertainment,Diwali gift,800,,PettyCash_PJ,0
12-11-2023,Vehicle Maintenance - Business,Vehicle wash,15,,PettyCash_PJ,0
08-11-2023,Vehicle Maintenance - Business,Bus Oil Filter Grease Prary,290,,PettyCash_PJ,0
07-11-2023,Licensing & Government Fees,Ajman Officee Shambhu Renewal Office Fee,4150,,PettyCash_PJ,0
06-11-2023,Printing & Stationery,Photocopy,5,,PettyCash_PJ,0
